title,author,isbn,avg_rating,user_rating,date_read,shelf,url,cover_url,genres,description
The Lightning Thief,"Riordan, Rick",0786838655,4.31,5,not set,read,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609l/28187._SY75_.jpg,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",
Catching Fire,"Collins, Suzanne",0439023491,4.35,4,not set,read,https://www.goodreads.com/book/show/6148028-catching-fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941l/6148028._SY75_.jpg,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",
Mockingjay,"Collins, Suzanne",0439023513,4.11,4,not set,read,https://www.goodreads.com/book/show/7260188-mockingjay,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918l/7260188._SY75_.jpg,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",
Paper Towns,"Green, John",014241493X,3.7,3,not set,read,https://www.goodreads.com/book/show/6442769-paper-towns,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349013610l/6442769._SX50_.jpg,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Mystery', 'Realistic Fiction', 'Coming Of Age']",
Allegiant,"Roth, Veronica",0007524277,3.6,2,not set,read,https://www.goodreads.com/book/show/18710190-allegiant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395582745l/18710190._SY75_.jpg,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",
Miss Peregrine's Home for Peculiar Children,"Riggs, Ransom",1594744769,3.92,4,not set,read,https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623449170l/9460487._SY75_.jpg,"['Fantasy', 'Young Adult', 'Fiction', 'Paranormal', 'Mystery', 'Horror', 'Historical Fiction']",
Harry Potter and the Half-Blood Prince,"Rowling, J.K.",,4.58,5,not set,read,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303l/1._SX50_.jpg,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Audiobook', 'Childrens', 'Adventure']",
Harry Potter and the Order of the Phoenix,"Rowling, J.K.",,4.5,5,not set,read,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2._SY75_.jpg,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Audiobook', 'Childrens', 'Adventure']",
Harry Potter and the Deathly Hallows,"Rowling, J.K.",,4.62,5,not set,read,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663805647l/136251._SY75_.jpg,"['Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure', 'Middle Grade']",
The Sea of Monsters,"Riordan, Rick",0786856866,4.24,5,not set,read,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602661l/28186._SX50_.jpg,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",
The Titan’s Curse,"Riordan, Rick",,4.37,5,not set,read,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038385l/561456._SY75_.jpg,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",
The Battle of the Labyrinth,"Riordan, Rick",1423101464,4.42,5,not set,read,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518607478l/2120932._SX50_.jpg,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",
